time,consgrowth,cay,RREL,SPEX,tbill,r1,r2,r3,r4,r5,r6
1965.5,1.0113,0.0027939,0.99368,-0.033903,1.0027,0.9242,0.93724,0.94285,0.98207,0.96318,0.9508
1965.8,1.0102,-0.0090671,0.99486,0.072185,1.0041,1.1307,1.1171,1.1293,1.0765,1.0623,1.1008
1966,1.0213,-0.0056843,0.99572,0.036484,1.0053,1.1396,1.1372,1.1603,1.0317,1.0213,1.0926
1966.2,1.0052,0.00045678,0.99128,-0.028883,1.0013,1.0654,1.0457,1.0732,0.95704,0.96527,0.98447
1966.5,1.0085,0.0039527,0.99247,-0.050385,1.0029,0.95107,0.93489,0.94035,0.9533,0.95667,0.93399
1966.8,1.0044,0.0060027,0.99263,-0.10543,1.0036,0.84505,0.87053,0.86848,0.89276,0.92164,0.9063
1967,1.003,-0.004324,0.99293,0.054025,1.0047,1.0619,1.0651,1.0208,1.0565,1.0679,1.0372
1967.2,1.0086,-0.011814,0.99693,0.13342,1.0089,1.3076,1.2703,1.2773,1.1458,1.098,1.1609
1967.5,1.0059,-0.011532,0.99315,0.018135,1.0046,1.1323,1.1066,1.086,1.0173,0.99681,1.0472
1967.8,1.005,-0.01558,0.99045,0.067977,1.0015,1.1291,1.1302,1.1498,1.0711,1.0451,1.0861
1968,1.0051,-0.020557,0.99262,0.0020799,1.0032,1.1061,1.0595,1.0262,1.0094,0.98795,0.97383
1968.2,1.0143,-0.014016,0.99066,-0.076242,1.0014,0.89703,0.93523,0.96762,0.91403,0.94985,0.94571
1968.5,1.0129,-0.020441,0.99128,0.1235,1.0029,1.2695,1.2416,1.2375,1.1174,1.082,1.1599
1968.8,1.0114,-0.01086,0.99053,0.026851,1.0028,1.0418,1.0701,1.1044,0.9877,1.0515,1.0659
1969,1.0051,-0.019505,0.98912,0.018785,1.0019,1.0712,1.0851,1.0597,0.98706,1.0277,1.0392
1969.2,1.0078,-0.0096332,0.991,-0.046329,1.0044,0.89719,0.92186,0.93585,0.96998,0.96284,0.97125
1969.5,1.0062,-0.0048035,0.98719,-0.058387,1.001,0.87074,0.90032,0.88924,0.98148,0.91653,0.95465
1969.8,1.0032,-0.011438,0.98843,-0.056299,1.0033,0.93422,0.9223,0.91832,0.9984,0.91796,0.90612
1970,1.0085,-0.0039239,0.98858,-0.015479,1.0044,0.98176,0.9577,0.92145,1.0304,0.97481,0.94588
1970.2,1.0093,0.0054009,0.9884,-0.04445,1.0052,0.90257,0.95862,1.026,0.9235,0.98852,1.0169
